Airline_ID,Name,IATA,ICAO
6855,EasyJet (DS),DS,\N
8359,Star Peru (2I),2I,\N
8461,Carnival Air Lines,KW,\N
8463,United Airways,4H,UBD
8576,Fly540,5H,FFV
8745,Transavia France,TO,TVF
8809,Island Air (WP),WP,MKU
9082,Uni Air,B7,UIA
9135,Gomelavia,YD,\N
9239,Red Wings,WZ,RWZ
9335,TUIfly (X3),11,\N
9343,Felix Airways,FU,FXX
9344,Kostromskie avialinii,K1,KOQ
9373,Greenfly,XX,GFY
9531,Tajik Air,7J,\N
9541,Air Mozambique,TM,\N
9577,ELK Airways,--,ELK
9620,Gabon Airlines,GY,GBK
9626,MCA Airlines,,MCA
9656,Maldivo Airlines,ML,MAV
9666,Virgin Pacific,VH,VNP
9764,Zest Air,Z2,\N
9784,Yangon Airways,HK,\N
9809,Eastar Jet,ZE,ESR
9810,Jin Air,LJ,JNA
9811,Wataniya Airways,,KW1
9818,Air Arabia Maroc,3O,\N
9825,Baltic Air lines,B1,BA1
9828,Ciel Canadien,YC,YCC
9829,Canadian National Airways,CN,YCP
